Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Total,Race Alone - White,Race Alone - Black or African American,Race Alone - American Indian and Alaska Native,Race Alone - Asian,Race Alone - Native Hawaiian and Other Pacific Islander,Two or More Races
est72011,"July 1, 2011",male,Male,nhisp,Not Hispanic,0400000US48,48,Texas,7819353,5691125,1429396,41321,493584,9637,154290
est72011,"July 1, 2011",male,Male,tothisp,Total,0400000US48,48,Texas,12723447,10331958,1517166,131686,514326,16574,211737
est72011,"July 1, 2011",totsex,Both Sexes,hisp,Hispanic,0400000US48,48,Texas,9731198,9209811,179187,173320,41700,13464,113716
est72011,"July 1, 2011",totsex,Both Sexes,nhisp,Not Hispanic,0400000US48,48,Texas,15909711,11515063,2963182,83187,1014062,19465,314752
est72011,"July 1, 2011",totsex,Both Sexes,tothisp,Total,0400000US48,48,Texas,25640909,20724874,3142369,256507,1055762,32929,428468
est72012,"July 1, 2012",female,Female,hisp,Hispanic,0400000US48,48,Texas,4926383,4658881,95109,84985,21712,6742,58954
est72012,"July 1, 2012",female,Female,nhisp,Not Hispanic,0400000US48,48,Texas,8186242,5856250,1566234,42798,542856,10114,167990
est72012,"July 1, 2012",female,Female,tothisp,Total,0400000US48,48,Texas,13112625,10515131,1661343,127783,564568,16856,226944
est72012,"July 1, 2012",male,Male,hisp,Hispanic,0400000US48,48,Texas,5013796,4740223,91940,92600,21558,7228,60247
est72012,"July 1, 2012",male,Male,nhisp,Not Hispanic,0400000US48,48,Texas,7934375,5740581,1463190,42335,516388,9987,161894
est72012,"July 1, 2012",male,Male,tothisp,Total,0400000US48,48,Texas,12948171,10480804,1555130,134935,537946,17215,222141
est72012,"July 1, 2012",totsex,Both Sexes,hisp,Hispanic,0400000US48,48,Texas,9940179,9399104,187049,177585,43270,13970,119201
